date,home_team,away_team,home_score,away_score,total_points,over_line
2026-05-26,Lakers,Nuggets,100,95,195,210.5
2026-05-25,Warriors,Suns,101,96,197,210.5
2026-05-24,Celtics,Bucks,102,97,199,210.5
2026-05-23,Nuggets,76ers,103,98,201,210.5
2026-05-22,Suns,Heat,104,99,203,210.5
2026-05-21,Bucks,Lakers,105,100,205,210.5
2026-05-20,76ers,Warriors,106,101,207,210.5
2026-05-19,Heat,Celtics,107,102,209,210.5
2026-05-18,Lakers,Nuggets,108,103,211,210.5
2026-05-17,Warriors,Suns,109,104,213,210.5
2026-05-16,Celtics,Bucks,110,105,215,210.5
2026-05-15,Nuggets,76ers,111,106,217,210.5
2026-05-14,Suns,Heat,112,107,219,210.5
2026-05-13,Bucks,Lakers,113,108,221,210.5
2026-05-12,76ers,Warriors,114,109,223,210.5
2026-05-11,Heat,Celtics,115,110,225,210.5
2026-05-10,Lakers,Nuggets,116,111,227,210.5
2026-05-09,Warriors,Suns,117,112,229,210.5
2026-05-08,Celtics,Bucks,118,113,231,210.5
2026-05-07,Nuggets,76ers,119,114,233,210.5
2026-05-06,Suns,Heat,120,115,235,210.5
2026-05-05,Bucks,Lakers,121,116,237,210.5
2026-05-04,76ers,Warriors,122,117,239,210.5
2026-05-03,Heat,Celtics,123,118,241,210.5
2026-05-02,Lakers,Nuggets,124,119,243,210.5
2026-05-01,Warriors,Suns,125,95,220,210.5
2026-04-30,Celtics,Bucks,126,96,222,210.5
2026-04-29,Nuggets,76ers,127,97,224,210.5
2026-04-28,Suns,Heat,128,98,226,210.5
2026-04-27,Bucks,Lakers,129,99,228,210.5
2026-04-26,76ers,Warriors,100,100,200,210.5
2026-04-25,Heat,Celtics,101,101,202,210.5
2026-04-24,Lakers,Nuggets,102,102,204,210.5
2026-04-23,Warriors,Suns,103,103,206,210.5
2026-04-22,Celtics,Bucks,104,104,208,210.5
2026-04-21,Nuggets,76ers,105,105,210,210.5
2026-04-20,Suns,Heat,106,106,212,210.5
2026-04-19,Bucks,Lakers,107,107,214,210.5
2026-04-18,76ers,Warriors,108,108,216,210.5
2026-04-17,Heat,Celtics,109,109,218,210.5
2026-04-16,Lakers,Nuggets,110,110,220,210.5
2026-04-15,Warriors,Suns,111,111,222,210.5
2026-04-14,Celtics,Bucks,112,112,224,210.5
2026-04-13,Nuggets,76ers,113,113,226,210.5
2026-04-12,Suns,Heat,114,114,228,210.5
2026-04-11,Bucks,Lakers,115,115,230,210.5
2026-04-10,76ers,Warriors,116,116,232,210.5
2026-04-09,Heat,Celtics,117,117,234,210.5
2026-04-08,Lakers,Nuggets,118,118,236,210.5
2026-04-07,Warriors,Suns,119,119,238,210.5
2026-04-06,Celtics,Bucks,120,95,215,210.5
2026-04-05,Nuggets,76ers,121,96,217,210.5
2026-04-04,Suns,Heat,122,97,219,210.5
2026-04-03,Bucks,Lakers,123,98,221,210.5
2026-04-02,76ers,Warriors,124,99,223,210.5
2026-04-01,Heat,Celtics,125,100,225,210.5
2026-03-31,Lakers,Nuggets,126,101,227,210.5
2026-03-30,Warriors,Suns,127,102,229,210.5
2026-03-29,Celtics,Bucks,128,103,231,210.5
2026-03-28,Nuggets,76ers,129,104,233,210.5
2026-03-27,Suns,Heat,100,105,205,210.5
2026-03-26,Bucks,Lakers,101,106,207,210.5
2026-03-25,76ers,Warriors,102,107,209,210.5
2026-03-24,Heat,Celtics,103,108,211,210.5
2026-03-23,Lakers,Nuggets,104,109,213,210.5
2026-03-22,Warriors,Suns,105,110,215,210.5
2026-03-21,Celtics,Bucks,106,111,217,210.5
2026-03-20,Nuggets,76ers,107,112,219,210.5
2026-03-19,Suns,Heat,108,113,221,210.5
2026-03-18,Bucks,Lakers,109,114,223,210.5
2026-03-17,76ers,Warriors,110,115,225,210.5
2026-03-16,Heat,Celtics,111,116,227,210.5
2026-03-15,Lakers,Nuggets,112,117,229,210.5
2026-03-14,Warriors,Suns,113,118,231,210.5
2026-03-13,Celtics,Bucks,114,119,233,210.5
2026-03-12,Nuggets,76ers,115,95,210,210.5
2026-03-11,Suns,Heat,116,96,212,210.5
2026-03-10,Bucks,Lakers,117,97,214,210.5
2026-03-09,76ers,Warriors,118,98,216,210.5
2026-03-08,Heat,Celtics,119,99,218,210.5
2026-03-07,Lakers,Nuggets,120,100,220,210.5
2026-03-06,Warriors,Suns,121,101,222,210.5
2026-03-05,Celtics,Bucks,122,102,224,210.5
2026-03-04,Nuggets,76ers,123,103,226,210.5
2026-03-03,Suns,Heat,124,104,228,210.5
2026-03-02,Bucks,Lakers,125,105,230,210.5
2026-03-01,76ers,Warriors,126,106,232,210.5
2026-02-28,Heat,Celtics,127,107,234,210.5
2026-02-27,Lakers,Nuggets,128,108,236,210.5
2026-02-26,Warriors,Suns,129,109,238,210.5
2026-02-25,Celtics,Bucks,100,110,210,210.5
2026-02-24,Nuggets,76ers,101,111,212,210.5
2026-02-23,Suns,Heat,102,112,214,210.5
2026-02-22,Bucks,Lakers,103,113,216,210.5
2026-02-21,76ers,Warriors,104,114,218,210.5
2026-02-20,Heat,Celtics,105,115,220,210.5
2026-02-19,Lakers,Nuggets,106,116,222,210.5
2026-02-18,Warriors,Suns,107,117,224,210.5
2026-02-17,Celtics,Bucks,108,118,226,210.5
2026-02-16,Nuggets,76ers,109,119,228,210.5
